1,22,27,31,57,62,64,Ideology,Group,Website
,Apache,,,,,,KKK,Loyal White Knights of the Ku Klux Klan,http://www.kkkknights.com/
Drupal,,PHP,Cloudflare,,,,Anti-Immigrant,Center for Immigration Studies,https://cis.org/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,League of the South,https://leagueofthesouth.com/
,Nginx,,,,SiteGround,Nginx,Anti-Muslim,"United West, The",https://www.theunitedwest.org/
,Apache,,,,,,Anti-Immigrant,Legal Immigrants for America,https://www.golifa.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-Immigrant,ProEnglish,https://proenglish.org/
,Nginx,,,,,Nginx,Anti-LGBT,American College of Pediatricians,https://acpeds.org/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-Muslim,Virginia Christian Alliance,https://vachristian.org/
,Apache,,,,,,Anti-LGBT,American Family Association Pennsylvania,http://afaofpa.org/
,,,Cloudflare,,,,Black Nationalist,All Eyes On Egipt Bookstore,https://alleyesonegiptchgo.webs.com/
Drupal,,PHP,Cloudflare,,,,Christian Identity,Christogenea,https://christogenea.org/
,Phusion Passenger,,Cloudflare,,,,Hate Music & Neo-Nazi,Behold Barbarity,https://www.storenvy.com/?utm_campaign=store404redirect&utm_medium=redirect&utm_source=system
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,United Riot Records,https://www.tumblr.com/search_no_results
,,,,,,,Rad Catholics,Culture Wars/Fidelity Press,https://culturewars.com/
,,,,,,,Black Nationalist,War On The Horizon,http://waronthehorizon.com/
,Apache,,,,,,Anti-LGBT,D. James Kennedy Ministries,https://www.djameskennedy.org/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,The Right Stuff Radio,https://therightstuff.biz/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,American Front,http://ww38.americanfront.org/
,Nginx,,,,,Nginx,Black Nationalist,Nation of Islam,https://addr.ws/the-nation-of-islam-lexington-ky-study-group--lexington-us.html
,Apache,,,,,,Rad Catholics,Tradition in Action,https://www.traditioninaction.org/
WordPress,Apache,PHP,,,,,Rad Catholics,Most Holy Family Monastery,https://www.mostholyfamilymonastery.com/
WordPress,Nginx,,,,Automattic,Nginx,Hate Music & Neo-Nazi,Attack the System,https://attackthesystem.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-LGBT,Conservative Republicans of Texas,https://crtpac.com/
,Nginx,,,,,Nginx,Holocaust Denial,Truth Will Out Films,https://twofilms.tv/
,,,Cloudflare,,,,Holocaust Denial,Committee for Open Debate on the Holocaust,https://codoh.com/
WordPress,Apache,PHP,,,,,KKK,White Pride Radio,https://altrighttv.com/
Wix,Nginx,,,,,Nginx,Christian Identity,America's Promise Ministries,https://www.americaspromiseministries.org/
WordPress,Apache,PHP,,,,,Holocaust Denial,Barnes Review/Foundation for Economic Liberty,https://barnesreview.org/
,,,Cloudflare,,,,Holocaust Denial,Righteous Jews,https://www.righteousjews.org/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Alliance,https://creativityalliance.com/
,,,Cloudflare,,,,KKK,Great Lake Knights,https://greatlakesknights.my-free.website/
,IIS,,Cloudflare,,,,Anti-LGBT,MaineResistance (chapter of Mass Resistance),https://www.hugedomains.com/domain_profile.cfm?d=reclaimvirtue&e=com
,,,Cloudflare,,,,Anti-LGBT,MassResistance,https://www.massresistance.org/
,,,,,,,Hate Music & Neo-Nazi,Heathens Motorcycle Club,https://heathensmf.com/
WordPress,,PHP,Cloudflare,,SiteGround,,General Hate,American Clarion,https://www.americanclarion.com/
,,,,,,,Neo-Confederate,The Free Magnolia,https://freemagnolia.org/
WordPress,Nginx,PHP,,,,Nginx,Anti-LGBT,Pacific Justice Institute,https://www.pacificjustice.org/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,MSR Productions,https://msrproductions.com/
WordPress,Nginx,,,,Automattic,Nginx,Anti-Muslim,Refugee Resettlement Watch,http://refugeeresettlementwatch.wordpress.com/
,,,,,,,Holocaust Denial,Gilad Atzmon,https://gilad.online/
,IIS,,Cloudflare,,,,Hate Music & Neo-Nazi,Crew38 & Hammerskin Nation forum,https://www.hugedomains.com/domain_profile.cfm?d=crew38&e=com
,,,Cloudflare,,,,KKK,Great Lakes Knights,https://greatlakesknights.my-free.website/
,Apache,,,,,,Anti-LGBT,Mission: America,https://www.missionamerica.com/
WordPress,Apache,PHP,,,,,Anti-LGBT,Probe Ministries,https://probe.org/
WordPress,,PHP,Cloudflare,,,,General Hate,American Free Press,https://americanfreepress.net/
,Apache,,,,,,Anti-LGBT,Pilgrims Covenant Church (WI),https://www.pccmonroe.org/
WordPress,Nginx,PHP,,,,Nginx,Anti-LGBT,"Pray in Jesus Name Project, the",https://www.prayinjesusname.org/
,Apache,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,https://www.americanvikings.com/
,IIS,PHP,,,,,White Nationalist,Rense Radio,https://rense.com//
,Nginx,,,,,Nginx,White Nationalist,NPI,https://nationalpolicy.institute/
,IIS,,,,,,Anti-Muslim,Truth in Love Project,https://www.tilproject.com/
,Apache,"Perl, PHP",,,,,Anti-LGBT,Liberty Counsel,https://www.lc.org/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,https://noidc.org/
WordPress,Apache,PHP,,,,,Christian Identity,Anglo-Saxon Israel,https://anglo-saxonisrael.com/
,Apache,,,,,,Black Nationalist,Nation of Islam,https://wildcard.hostgator.com/
,IIS,,Cloudflare,,,,Hate Music & Neo-Nazi,Supreme White Alliance,https://www.hugedomains.com/domain_profile.cfm?d=swa43&e=com
,,,Cloudflare,,,,Rad Catholics,"Remnant, The/The Remnant Press",https://remnantnewspaper.com/web/index.php
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,https://reviewskart.co.uk/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Parasitic Records,https://bandcamp.com/tag/parasitic-records
,Apache,,,,,,Black Nationalist,New Black Panther Party for Self Defense,https://www.nbppnational.org/
WordPress,Apache,PHP,,,,,Anti-Muslim,Citizens for National Security,https://cfns.us/
,IIS,,,,,,Hate Music & Neo-Nazi,National Alliance Reform and Restoration Group,http://www.narrg.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Get Some 88,http://www.getsome88.com/
WordPress,Apache,PHP,,,,,Neo-Confederate,Southern Agrarian,http://www.southernagrarian.com/
,Apache,,,,,,Black Nationalist,Nation of Islam,https://etrigg.com/location/muhammad-mosque-3-4202-n-teutonia-ave-53209-milwaukee-united-states/2988321/
,IIS,,Cloudflare,,,,Hate Music & Neo-Nazi,Supreme White Alliance,https://www.hugedomains.com/domain_profile.cfm?d=swa43&e=com
,,PHP,Cloudflare,,,,KKK,Rebel Brigade Knights of the Ku Klux Klan,http://rebelbrigadeknightstrueinvisibleempire.yolasite.com
Drupal,Apache,PHP,,,,,Christian Identity,Fellowship of God's Covenant People,http://fgcp.org/
,Apache,,,,,,Christian Identity,Christian Identity Church,http://christianidentitychurch.net/
,,,,,,,White Nationalist,H.L. Mencken Club,http://hlmenckenclub.org/
WordPress,Apache,PHP,,,,,Rad Catholics,In the Spirit of Chartres Committee,https://isoc.ws/
,IIS,,Cloudflare,,,,Black Nationalist,Nation of Islam,https://v1.noi.org/reg_western_region.htm
,Apache,,,,,,Holocaust Denial,Irving Books,https://irvingbooks.com/xcart/home.php
,,,,,,,General Hate,Christian Anti-Defamation Commission,http://www.defendchristians.org/
,Apache Traffic Server,,,,,,Black Nationalist,Israelite School of Universal Practical Knowledge,http://www.isupk.org/
,,,,,,,Hate Music & Neo-Nazi,Golden State Skinheads/Solidarity,http://www.goldenstateskinheads.net/
,,,,,,,Anti-Muslim,III% Security Force,http://www.iiisecurityforce.com/
,,,,,,,Hate Music & Neo-Nazi,Stomp Out Child Abuse Compilation,http://www.chesterstomp.com/store.html
,Apache,,,,,,Rad Catholics,IHM Media,http://ihmmedia.net/
,Nginx,,,,,Nginx,Black Nationalist,All Eyes on Egipt Bookstore,http://www.thenationspeaks.org/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,Label 56,http://www.label56.com/
,,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,http://americanvikings.us
,Nginx,,,,,Nginx,Anti-Muslim,Team America Political Action Committee,https://teamamericapac.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,The Political Cesspool,https://www.thepoliticalcesspool.org/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Hells Headbangers,https://hellsheadbangers.bandcamp.com/
WordPress,,PHP,Cloudflare,,WP Engine,,Neo-Confederate,Faith And Heritage,http://faithandheritage.com/
WordPress,,PHP,Cloudflare,,WP Engine,,White Nationalist,Faith and Heritage,https://faithandheritage.com/
,Apache,,,,,,Christian Identity,Yahweh's Truth,http://www.jameswickstrom.com/cgi-sys/suspendedpage.cgi
Wix,Nginx,,,,,Nginx,General Hate,Insight USA,https://www.insightusa.us/
,Apache,,,,,,Anti-Muslim,American Freedom Law Center,https://www.americanfreedomlawcenter.org/
,Apache,,,,,,Anti-LGBT,"Campus Ministry, USA, The",http://www.brojed.org/cms/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-Muslim,Secure Michigan,http://ww7.securemichigan.org/
,,,Cloudflare,,,,Hate Music & Neo-Nazi,American Nazi Party,https://www.americannaziparty.com/
WordPress,Apache,PHP,,,,,Anti-Muslim,Understanding the Threat,https://www.understandingthethreat.com/
WordPress,,PHP,Cloudflare,,,,Anti-LGBT,American Vision,https://americanvision.org/
,Apache,,,,,,General Hate,National Prayer Network,https://truthtellers.org/index.html
,,PHP,Cloudflare,,,,Anti-LGBT,Westboro Baptist Church,https://www.godhatesfags.com/
WordPress,,PHP,Cloudflare,,,,Anti-Muslim,Bare Naked Islam,https://www.barenakedislam.com/
WordPress,,PHP,Cloudflare,,WP Engine,,White Nationalist,American Renaissance,https://www.amren.com/
WordPress,,PHP,Cloudflare,,,,Anti-LGBT,United Families International,https://www.unitedfamilies.org/
,,,Cloudflare,,,,Black Nationalist,Nation of Islam,https://muhammadmosque24.webs.com/
,Tengine,PHP,,,,,KKK,Texas Rebel Knights,https://www.texasrebelknightskkk.com/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://www.noiatlanta.org/
,Apache,,,,,,Hate Music & Neo-Nazi,nan,https://www.combat18.com/
WordPress,Apache,PHP,,,,,White Nationalist,Traditionalist Youth Network,https://www.tradyouth.org/
,Cowboy,Erlang,,,,,Anti-LGBT,Generations with Vision (CO),https://www.generations.org/
,"Nginx, OpenResty",Lua,,,,Nginx,KKK,United Northern and Southern Knights of the Ku Klux Klan,http://ww7.unskkkk.com/
WordPress,Apache,PHP,,,,,Anti-Muslim,"Straight Way and More, The",https://www.thestraightway.org/
WordPress,,PHP,Cloudflare,,,,Anti-LGBT,TC Family (Traverse City; MI),https://tcfamily.org/
