1,22,27,31,57,62,64,Ideology,Group,Website
,Apache,,,,,,White Nationalist,Center for Perpetual Diversity,http://www.perpetualdiversity.com/
,,,,,,,White Nationalist,Traditionalist Worker Party,http://www.tradworker.org/
,Apache,,,,,,White Nationalist,Scott-Townsend Publishers,http://www.scott-townsend.com/
WordPress,LiteSpeed,PHP,,,,,White Nationalist,Heritage and Destiny,http://www.efp.org.uk/
WordPress,,PHP,Cloudflare,,,,White Nationalist,CCC,http://conservative-headlines.com/
WordPress,Apache,PHP,,,,,White Nationalist,Forza Nuova,http://www.usa.forzanuova.info/
WordPress,,PHP,Cloudflare,,WP Engine,,White Nationalist,Faith and Heritage,https://faithandheritage.com/
,Apache,,,,,,White Nationalist,Patriotic Flags,https://www.patriotic-flags.com/
,Apache,,,,,,White Nationalist,Social Contract Press,http://www.thesocialcontract.com/
WordPress,LiteSpeed,PHP,,,,,White Nationalist,BUGS,http://www.whitakeronline.org/blog/
,Nginx,Ruby,,,,Nginx,White Nationalist,VDARE,https://vdare.com/
,IIS,PHP,,,,,White Nationalist,Rense Radio,https://rense.com//
Squarespace,,,,,,,White Nationalist,H.L. Mencken Club,http://hlmenckenclub.org/
,,,,,,,White Nationalist,Foundation for the Marketplace of Ideas,http://www.freedomfront.org/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Occidental Quarterly,https://www.toqonline.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,The Right Stuff,https://therightstuff.biz/
,,PHP,Cloudflare,,,,White Nationalist,Stormfront,https://www.stormfront.org/forum/
WordPress,Apache,PHP,,,,,White Nationalist,Traditionalist Youth Network,https://www.tradyouth.org/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Occidental Dissent,http://www.occidentaldissent.com/
WordPress,,PHP,Cloudflare,,SiteGround,,White Nationalist,Identity Evropa,https://www.identityevropa.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,The Political Cesspool,https://www.thepoliticalcesspool.org/
WordPress,Nginx,PHP,,,,Nginx,White Nationalist,NPI,https://nationalpolicy.institute/
WordPress,Nginx,PHP,,,,Nginx,White Nationalist,Radix,https://radixjournal.com/
WordPress,Nginx,PHP,Sucuri,,,Nginx,White Nationalist,Occidental Observer,https://www.theoccidentalobserver.net/
WordPress,Nginx,PHP,,,,Nginx,White Nationalist,Washington Summit Publishers,https://washsummit.com/
WordPress,Nginx,PHP,Sucuri,,,Nginx,White Nationalist,White Rabbit Radio,https://whiterabbitradio.net/
WordPress,Apache,PHP,,,,,White Nationalist,Northwest Front,http://northwestfront.org/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Counter-Currents,https://www.counter-currents.com/
